concessionaria;identificador;rodovia;uf;km_m;municipio;tipo_de_pista;latitude;longitude;data_da_passagem;sentido_da_passagem;faixa_da_passagem;velocidade;tipo_de_veiculo;volume_total
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"31/01/2022";"Crescente";1;"81 - 100 K";"Passeio";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"01/02/2022";"Crescente";1;"51 - 80 KM";"Veículo Pequeno";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"02/02/2022";"Crescente";1;"51 - 80 KM";"Veículo Pequeno";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"03/02/2022";"Crescente";1;"51 - 80 KM";"Comercial";2
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"03/02/2022";"Crescente";1;"81 - 100 K";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"04/02/2022";"Crescente";1;"51 - 80 KM";"Comercial";2
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"06/02/2022";"Crescente";1;"51 - 80 KM";"Comercial";4
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"06/02/2022";"Crescente";1;"51 - 80 KM";"Moto";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"06/02/2022";"Crescente";1;"51 - 80 KM";"Veículo Pequeno";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"07/02/2022";"Crescente";1;"51 - 80 KM";"Comercial";2
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"08/02/2022";"Crescente";1;"51 - 80 KM";"Comercial";3
